_id,author,theme,title
63bf7cd728ff38edfcbc4ccd,Aimee Nezhukumatathil,Love,Ode to Sitting in a Booth
63bf7cd728ff38edfcbc4cce,Countee Cullen,Love,The Dance of Love 
63bf7cd728ff38edfcbc4ccf,Countee Cullen,Love,To A Brown Boy
63bf7cd728ff38edfcbc4cd0,Countee Cullen,Love,To A Brown Girl 
63bf7cd728ff38edfcbc4cd1,Countee Cullen,Love,Brown Boy to Brown Girl
63bf7cd728ff38edfcbc4cd2,Aldo Amparán,Love,Aubade at the City of Change
63bf7cd728ff38edfcbc4cd3,Langston Hughes,Love,My Loves
63bf7cd728ff38edfcbc4cd4,Langston Hughes,Love,The New Moon 
63bf7cd728ff38edfcbc4cd5,Rickey Laurentiis,Love,Because we love each other
63bf7cd728ff38edfcbc4cd6,Priscilla Jane Thompson,Love,A Valentine
63bf7cd728ff38edfcbc4cd7,Kamilah  Aisha Moon,Love,Disbelief
63bf7cd728ff38edfcbc4cd8,Alison C. Rollins,Love,Love in Outer Space
63bf7cd728ff38edfcbc4cd9,Leila Chatti,Love,"After Touching You, I Think of Narcissus Drowning "
63bf7cd728ff38edfcbc4cda,Babette Deutsch,Love,Silence
63bf7cd728ff38edfcbc4cdb,Hala Alyan,Love,Object Permanence
63bf7cd728ff38edfcbc4cdc,Ellen Bass,Love,Kiss
63bf7cd728ff38edfcbc4cdd,Sumita Chakraborty,Love,Night Questions
63bf7cd728ff38edfcbc4cde,Anaïs Duplan,Love,Fear and Loathing (Comin’ and Goin’)
63bf7cd728ff38edfcbc4cdf,Diane di Prima,Love,"Song for Baby-O, Unborn"
63bf7cd728ff38edfcbc4ce0,Anne Carson,Love,O Small Sad Ecstasy of Love
63bf7cd728ff38edfcbc4ce1,Heid E. Erdrich,Love,How
63bf7cd728ff38edfcbc4ce2,Ruth Muskrat Bronson,Love,Sonnets from the Cherokee (III)
63bf7cd728ff38edfcbc4ce3,John Rollin Ridge,Love,Random Thoughts of Her 
63bf7cd728ff38edfcbc4ce4,Aricka Foreman,Love,Polycystic Study of Intimacy
63bf7cd728ff38edfcbc4ce5,Margaret Noodin,Love,Ozaagi’aan One Open to an Other
63bf7cd728ff38edfcbc4ce6,Delmira Agustini,Love,The Vampire
63bf7cd728ff38edfcbc4ce7,Paul Celan,Love,Corona
63bf7cd728ff38edfcbc4ce8,Trace Howard DePass,Love,[th(e)reat] → siege engine 
63bf7cd728ff38edfcbc4ce9,Anne Haven McDonnell,Love,She Told Me the Earth Loves Us 
